Gene Symbol	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	GO ID	GSEA Standard Name	
PYYM_0007600	-	-	-	-	-	
PYYM_0007700	-	-	-	-	-	
PYYM_0007800	-	-	-	-	-	
PYYM_0007900	-	-	-	-	-	
PYYM_0008000	-	-	-	-	-	
PYYM_0008100	-	-	-	-	-	
PYYM_0008200	-	-	-	-	-	
PYYM_0008400	-	-	-	-	-	
PYYM_0008500	-	-	-	-	-	
PYYM_0008700	-	-	-	-	-	
PYYM_0009000	-	-	-	-	-	
PYYM_0009200	-	-	-	-	-	
PYYM_0009300	-	-	-	-	-	
PYYM_0009400	-	-	-	-	-	
PYYM_0009500	-	-	-	-	-	
PYYM_0009600	-	-	-	-	-	
PYYM_0009700	-	-	-	-	-	
PYYM_0009800	-	-	-	-	-	
PYYM_0009900	-	-	-	-	-	
PYYM_0010000	-	-	-	-	-	
PYYM_0010100	-	-	-	-	-	
PYYM_0010200	-	-	-	-	-	
PYYM_0010300	-	-	-	-	-	
PYYM_0010400	-	-	-	-	-	
PYYM_0010500	-	-	-	-	-	
PYYM_0010700	-	-	-	-	-	
PYYM_0010800	-	-	-	-	-	
PYYM_0010900	-	-	-	-	-	
PYYM_0011000	-	-	-	-	-	
PYYM_0011100	-	-	-	-	-	
PYYM_0011200	-	-	-	-	-	
PYYM_0011300	-	-	-	-	-	
PYYM_0011400	-	-	-	-	-	
PYYM_0011500	-	-	-	-	-	
PYYM_0011600	-	-	-	-	-	
PYYM_0011700	-	-	-	-	-	
PYYM_0011800	-	-	-	-	-	
PYYM_0011900	-	-	-	-	-	
PYYM_0012000	-	-	-	-	-	
PYYM_0012100	-	-	-	-	-	
PYYM_0012200	-	-	-	-	-	
PYYM_0012300	-	-	-	-	-	
PYYM_0012400	-	-	-	-	-	
PYYM_0012500	-	-	-	-	-	
PYYM_0012600	-	-	-	-	-	
PYYM_0012700	-	-	-	-	-	
PYYM_0012800	-	-	-	-	-	
PYYM_0012900	-	-	-	-	-	
PYYM_0013000	-	-	-	-	-	
PYYM_0013100	-	-	-	-	-	
PYYM_0013300	-	-	-	-	-	
PYYM_0013400	-	-	-	-	-	
PYYM_0013500	-	-	-	-	-	
PYYM_0013600	-	-	-	-	-	
PYYM_0013700	-	-	-	-	-	
PYYM_0013800	-	-	-	-	-	
PYYM_0013900	-	-	-	-	-	
PYYM_0014000	-	-	-	-	-	
PYYM_0014100	-	-	-	-	-	
PYYM_0014200	-	-	-	-	-	
PYYM_0014300	-	-	-	-	-	
PYYM_0014400	-	-	-	-	-	
PYYM_0014500	-	-	-	-	-	
PYYM_0014600	-	-	-	-	-	
PYYM_0014700	-	-	-	-	-	
PYYM_0014800	-	-	-	-	-	
PYYM_0014900	-	-	-	-	-	
PYYM_0015000	-	-	-	-	-	
PYYM_0015100	-	-	-	-	-	
PYYM_0015400	-	-	-	-	-	
PYYM_0015500	-	-	-	-	-	
PYYM_0015700	-	-	-	-	-	
PYYM_0015800	-	-	-	-	-	
PYYM_0015900	-	-	-	-	-	
PYYM_0016600	-	-	-	-	-	
PYYM_0016700	-	-	-	-	-	
PYYM_0016800	-	-	-	-	-	
PYYM_0016900	-	-	-	-	-	
PYYM_0017000	-	-	-	-	-	
PYYM_0017100	-	-	-	-	-	
PYYM_0017200	-	-	-	-	-	
PYYM_0017300	-	-	-	-	-	
PYYM_0017400	-	-	-	-	-	
PYYM_0017500	-	-	-	-	-	
PYYM_0017700	-	-	-	-	-	
PYYM_0017800	-	-	-	-	-	
PYYM_0017900	-	-	-	-	-	
PYYM_0018000	-	-	-	-	-	
PYYM_0018100	-	-	-	-	-	
PYYM_0018200	-	-	-	-	-	
PYYM_0018300	-	-	-	-	-	
PYYM_0018400	-	-	-	-	-	
PYYM_0018500	-	-	-	-	-	
PYYM_0018600	-	-	-	-	-	
PYYM_0018700	-	-	-	-	-	
PYYM_0018800	-	-	-	-	-	
PYYM_0018900	-	-	-	-	-	
PYYM_0019000	-	-	-	-	-	
PYYM_0019100	-	-	-	-	-	
PYYM_0019600	-	-	-	-	-	
PYYM_0019700	-	-	-	-	-	
PYYM_0019800	-	-	-	-	-	
PYYM_0020200	-	-	-	-	-	
PYYM_0020400	-	-	-	-	-	
PYYM_0020500	-	-	-	-	-	
PYYM_0020700	-	-	-	-	-	
PYYM_0020800	-	-	-	-	-	
PYYM_0020900	-	-	-	-	-	
PYYM_0021000	-	-	-	-	-	
PYYM_0021100	-	-	-	-	-	
PYYM_0021200	-	-	-	-	-	
PYYM_0021300	-	-	-	-	-	
PYYM_0021400	-	-	-	-	-	
PYYM_0021500	-	-	-	-	-	
PYYM_0021600	-	-	-	-	-	
PYYM_0021700	-	-	-	-	-	
PYYM_0021800	-	-	-	-	-	
PYYM_0021900	-	-	-	-	-	
PYYM_0022000	-	-	-	-	-	
PYYM_0022100	-	-	-	-	-	
PYYM_0022200	-	-	-	-	-	
PYYM_0022300	-	-	-	-	-	
PYYM_0022400	-	-	-	-	-	
PYYM_0022500	-	-	-	-	-	
PYYM_0022600	-	-	-	-	-	
PYYM_0022700	-	-	-	-	-	
PYYM_0022800	-	-	-	-	-	
PYYM_0022900	-	-	-	-	-	
PYYM_0023000	-	-	-	-	-	
PYYM_0023100	-	-	-	-	-	
PYYM_0023200	-	-	-	-	-	
PYYM_0023300	-	-	-	-	-	
PYYM_0023400	-	-	-	-	-	
PYYM_0023500	-	-	-	-	-	
PYYM_0023600	-	-	-	-	-	
PYYM_0023700	-	-	-	-	-	
PYYM_0023800	-	-	-	-	-	
PYYM_0023900	-	-	-	-	-	
PYYM_0024000	-	-	-	-	-	
PYYM_0024100	-	-	-	-	-	
PYYM_0024200	-	-	-	-	-	
PYYM_0024300	-	-	-	-	-	
PYYM_0024400	-	-	-	-	-	
PYYM_0024500	-	-	-	-	-	
PYYM_0024600	-	-	-	-	-	
PYYM_0024700	-	-	-	-	-	
PYYM_0024800	-	-	-	-	-	
PYYM_0025000	-	-	-	-	-	
PYYM_0025100	-	-	-	-	-	
PYYM_0025400	-	-	-	-	-	
PYYM_0025500	-	-	-	-	-	
PYYM_0025700	-	-	-	-	-	
PYYM_0025800	-	-	-	-	-	
PYYM_0025900	-	-	-	-	-	
PYYM_0026000	-	-	-	-	-	
PYYM_0026100	-	-	-	-	-	
PYYM_0026200	-	-	-	-	-	
PYYM_0026300	-	-	-	-	-	
PYYM_0026400	-	-	-	-	-	
PYYM_0026500	-	-	-	-	-	
PYYM_0026600	-	-	-	-	-	
PYYM_0026700	-	-	-	-	-	
PYYM_0026800	-	-	-	-	-	
PYYM_0026900	-	-	-	-	-	
PYYM_0027000	-	-	-	-	-	
PYYM_0027100	-	-	-	-	-	
PYYM_0027200	-	-	-	-	-	
PYYM_0027300	-	-	-	-	-	
PYYM_0027400	-	-	-	-	-	
PYYM_0027500	-	-	-	-	-	
PYYM_0027600	-	-	-	-	-	
PYYM_0027700	-	-	-	-	-	
PYYM_0027800	-	-	-	-	-	
PYYM_0027900	-	-	-	-	-	
PYYM_0028000	-	-	-	-	-	
PYYM_0028100	-	-	-	-	-	
PYYM_0028200	-	-	-	-	-	
PYYM_0028300	-	-	-	-	-	
PYYM_0028400	-	-	-	-	-	
PYYM_0028500	-	-	-	-	-	
PYYM_0028600	-	-	-	-	-	
PYYM_0028700	-	-	-	-	-	
PYYM_0028800	-	-	-	-	-	
PYYM_0028900	-	-	-	-	-	
PYYM_0029000	-	-	-	-	-	
PYYM_0029100	-	-	-	-	-	
PYYM_0029200	-	-	-	-	-	
PYYM_0029400	-	-	-	-	-	
PYYM_0029500	-	-	-	-	-	
PYYM_0029600	-	-	-	-	-	
PYYM_0029700	-	-	-	-	-	
PYYM_0029800	-	-	-	-	-	
PYYM_0029900	-	-	-	-	-	
PYYM_0030000	-	-	-	-	-	
PYYM_0030100	-	-	-	-	-	
PYYM_0030200	-	-	-	-	-	
PYYM_0030300	-	-	-	-	-	
PYYM_0030400	-	-	-	-	-	
PYYM_0030500	-	-	-	-	-	
PYYM_0030700	-	-	-	-	-	
PYYM_0030800	-	-	-	-	-	
PYYM_0030900	-	-	-	-	-	
PYYM_0031000	-	-	-	-	-	
PYYM_0031100	-	-	-	-	-	
PYYM_0031200	-	-	-	-	-	
PYYM_0031300	-	-	-	-	-	
PYYM_0031400	-	-	-	-	-	
PYYM_0031500	-	-	-	-	-	
PYYM_0031600	-	-	-	-	-	
PYYM_0031700	-	-	-	-	-	
PYYM_0031800	-	-	-	-	-	
PYYM_0031900	-	-	-	-	-	
PYYM_0032000	-	-	-	-	-	
PYYM_0032100	-	-	-	-	-	
PYYM_0032200	-	-	-	-	-	
PYYM_0032300	-	-	-	-	-	
PYYM_0032400	-	-	-	-	-	
PYYM_0032500	-	-	-	-	-	
PYYM_0032600	-	-	-	-	-	
PYYM_0032800	-	-	-	-	-	
PYYM_0032900	-	-	-	-	-	
PYYM_0033000	-	-	-	-	-	
PYYM_0033100	-	-	-	-	-	
PYYM_0033200	-	-	-	-	-	
PYYM_0033300	-	-	-	-	-	
PYYM_0033400	-	-	-	-	-	
PYYM_0033600	-	-	-	-	-	
PYYM_0033700	-	-	-	-	-	
PYYM_0033800	-	-	-	-	-	
PYYM_0033900	-	-	-	-	-	
PYYM_0034000	-	-	-	-	-	
PYYM_0034100	-	-	-	-	-	
PYYM_0034200	-	-	-	-	-	
PYYM_0034300	-	-	-	-	-	
PYYM_0034400	-	-	-	-	-	
PYYM_0034500	-	-	-	-	-	
PYYM_0034600	-	-	-	-	-	
PYYM_0034700	-	-	-	-	-	
PYYM_0034800	-	-	-	-	-	
PYYM_0034900	-	-	-	-	-	
PYYM_0035000	-	-	-	-	-	
PYYM_0035200	-	-	-	-	-	
PYYM_0035300	-	-	-	-	-	
PYYM_0035400	-	-	-	-	-	
PYYM_0035500	-	-	-	-	-	
PYYM_0035600	-	-	-	-	-	
PYYM_0035700	-	-	-	-	-	
PYYM_0035900	-	-	-	-	-	
PYYM_0036100	-	-	-	-	-	
PYYM_0036200	-	-	-	-	-	
PYYM_0036300	-	-	-	-	-	
PYYM_0036400	-	-	-	-	-	
PYYM_0036500	-	-	-	-	-	
PYYM_0036600	-	-	-	-	-	
PYYM_0036700	-	-	-	-	-	
PYYM_0036800	-	-	-	-	-	
PYYM_0037000	-	-	-	-	-	
PYYM_0037100	-	-	-	-	-	
PYYM_0037200	-	-	-	-	-	
PYYM_0037300	-	-	-	-	-	
PYYM_0037400	-	-	-	-	-	
PYYM_0037500	-	-	-	-	-	
PYYM_0037600	-	-	-	-	-	
PYYM_0037700	-	-	-	-	-	
PYYM_0037800	-	-	-	-	-	
PYYM_0037900	-	-	-	-	-	
PYYM_0038000	-	-	-	-	-	
PYYM_0038100	-	-	-	-	-	
PYYM_0038200	-	-	-	-	-	
PYYM_0038300	-	-	-	-	-	
PYYM_0038400	-	-	-	-	-	
PYYM_0038600	-	-	-	-	-	
PYYM_0038700	-	-	-	-	-	
PYYM_0038800	-	-	-	-	-	
PYYM_0038900	-	-	-	-	-	
PYYM_0039000	-	-	-	-	-	
PYYM_0039100	-	-	-	-	-	
PYYM_0039200	-	-	-	-	-	
PYYM_0039300	-	-	-	-	-	
PYYM_0039400	-	-	-	-	-	
PYYM_0039500	-	-	-	-	-	
PYYM_0039600	-	-	-	-	-	
PYYM_0039700	-	-	-	-	-	
PYYM_0039800	-	-	-	-	-	
PYYM_0039900	-	-	-	-	-	
PYYM_0040000	-	-	-	-	-	
PYYM_0040100	-	-	-	-	-	
PYYM_0040200	-	-	-	-	-	
PYYM_0040300	-	-	-	-	-	
PYYM_0040400	-	-	-	-	-	
PYYM_0040500	-	-	-	-	-	
PYYM_0040600	-	-	-	-	-	
PYYM_0040700	-	-	-	-	-	
PYYM_0040800	-	-	-	-	-	
